auth-service  | 
auth-service  |   .   ____          _            __ _ _
auth-service  |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
auth-service  | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
auth-service  |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
auth-service  |   '  |____| .__|_| |_|_| |_\__, | / / / /
auth-service  |  =========|_|==============|___/=/_/_/_/
auth-service  |  :: Spring Boot ::                (v3.2.4)
auth-service  | 
auth-service  | 2025-05-17T08:40:15.041Z  INFO 1 --- [auth-service] [           main] c.t.auth.AuthServiceApplication          : Starting AuthServiceApplication v0.0.1-SNAPSHOT using Java 17.0.2 with PID 1 (/app/app.jar started by root in /app)
auth-service  | 2025-05-17T08:40:15.043Z DEBUG 1 --- [auth-service] [           main] c.t.auth.AuthServiceApplication          : Running with Spring Boot v3.2.4, Spring v6.1.5
auth-service  | 2025-05-17T08:40:15.044Z  INFO 1 --- [auth-service] [           main] c.t.auth.AuthServiceApplication          : The following 1 profile is active: "docker"
auth-service  | 2025-05-17T08:40:17.193Z  INFO 1 --- [auth-service] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
auth-service  | 2025-05-17T08:40:17.415Z  INFO 1 --- [auth-service] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 207 ms. Found 2 JPA repository interfaces.
auth-service  | 2025-05-17T08:40:17.726Z  INFO 1 --- [auth-service] [           main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=8543e717-94cd-38cc-bedd-d9c6dde80222
auth-service  | 2025-05-17T08:40:18.232Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$LoadBalancerInterceptorConfig' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$LoadBalancerInterceptorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [lbRestClientPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
auth-service  | 2025-05-17T08:40:18.234Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.loadbalancer.config.BlockingLoadBalancerClientAutoConfiguration' of type [org.springframework.cloud.loadbalancer.config.BlockingLoadBalancerClientAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
auth-service  | 2025-05-17T08:40:18.235Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.loadbalancer.config.LoadBalancerAutoConfiguration' of type [org.springframework.cloud.loadbalancer.config.LoadBalancerAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
auth-service  | 2025-05-17T08:40:18.249Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration' of type [org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
